removed_path,new_location,reason,history_tag
outputs/modelica/PrecisionCabinetCooling_res.csv,outputs_review_v3/modelica/PrecisionCabinetCooling_res.csv,unique DASSL evidence cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/openmodelica_cross_validation.*,outputs_review_v3/openmodelica_cross_validation.*,unique cross-check cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/submission_package/,outputs_review_v3/submission_package/,unique deliverables cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/documents/,outputs_review_v3/documents/,unique deliverables cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/mcu_wokwi_validation.csv,outputs_review_v3/mcu_wokwi_validation.csv,unique evidence cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/case_timeseries.csv,outputs_review_v3/case_timeseries.csv,unique timeseries cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/online_gain_history.csv,outputs_review_v3/online_gain_history.csv,unique evidence cherry-picked to canonical batch,pre-dedup-a3d8fba
outputs/ (remainder inc. gain_scheduler.joblib),—,stale duplicate of review_v3 triplicate; regenerable via main.py,pre-dedup-a3d8fba
outputs_adaptive_final_v2/,—,transitional subset duplicate of review_v3; code defaults repointed to outputs_review_v3,pre-dedup-a3d8fba
outputs_llm_matrix_v2/,—,unreferenced duplicate schema of outputs_llm_matrix (hashes differ; v1 kept: dump_s4_numbers.py + 06 report walkthrough),pre-dedup-a3d8fba
outputs_llm_agent/ outputs_llm_agent_live/ outputs_llm_agent_live_max/ outputs_llm_agent_real/,—,unreferenced single sessions; outputs_llm_agent_bailian kept (cited by 06 report),pre-dedup-a3d8fba
outputs_*/report_assets/katex,render-time copy from vendor/katex,derivative regenerated by hvac_pid/report.py::_ensure_katex_assets,pre-dedup-a3d8fba
reports/figures (22 identical PNGs),single-sourced at reports/figures,MD5-identical copies removed from 分报告/figures; sub-report md now refs ../figures/; copy_figures() verifies only,pre-dedup-a3d8fba
reports/实验报告_AI-PI整定.docx,reports/实验报告_AI-PI整定_v2.docx,superseded render; all 3 copies held new sealed numbers (0.9979/1.0067/0.9595/0.9743); _v2 newest (preamble+images),pre-dedup-a3d8fba
reports/实验报告_AI-PI整定.new.docx,—,Word-lock temp artifact of md2docx (see 实验报告改进.md:28),pre-dedup-a3d8fba
reports/项目全景汇报_结构与算法流程.md,reports/legacy/同名,unreferenced single-file panorama; canonical is 分报告/00 + ARCHITECTURE.md,pre-dedup-a3d8fba
reports/分报告/my_report/,—,empty dir after zero-byte docx removal,pre-dedup-a3d8fba
run.py (new),—,unified CLI delegating to run_* modules (verbatim args); 5 run_*.py kept as thin wrappers with DeprecationWarning,pre-dedup-a3d8fba
build_docs.py (new),—,unified dispatcher (detailed --formal/--beginner, manual); build_*.py unchanged,pre-dedup-a3d8fba
reports/figstyle.py (new),—,single source for report palette + rcParams; make_figures re-exports; s4/subreport style blocks replaced by apply_style(plt),pre-dedup-a3d8fba
